,process_number,decision_type,document_href,judgement_date,decision_text,judging_body,judge,district,justice_secret,publication_date
17,0000007-34.2023.8.16.9000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918b3df91b40b180d03afe8b279ff3d9d8ffa909f8bf88bec55,20230110,AGRAVO DE INSTRUMENTO. DECISÃO INTERLOCUTÓRIA DE SANEAMENTO E ORGANIZAÇÃO DO PROCESSO. JUIZADO ESPECIAL DA FAZENDA PÚBLICA. INOCORRÊNCIA DE PROVIDÊNCIAS CAUTELARES E ANTECIPATÓRIAS. NÃO CABIMENTO DO RECURSO ELEITO. ARTIGO 4º DA LEI 12.153/09. OPÇÃO DO LEGISLADOR VISANDO ATENDER AO PRINCÍPIO DA CELERIDADE E DA CONCENTRAÇÃO. Recurso não conhecido.,4ª Turma Recursal,Leo Henrique Furtado Araujo,Curitiba,False,20230110
18,0000010-86.2023.8.16.9000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae72691809debdc748a563921d8c17947faf61b9fa909f8bf88bec55,20230110,"EMENTA: DECISÃO MONOCRÁTICA. HABEAS CORPUS EM FACE DE SENTENÇA PROFERIDA PELO JUÍZO DE ORIGEM QUE RECONHECEU A INCOMPETÊNCIA TERRITORIAL. AUSÊNCIA DE OFENSA À LIBERDADE DE LOCOMOÇÃO. ART. 5º, LXVIII, DA CONSTITUIÇÃO FEDERAL. INDEFERIMENTO DA PETIÇÃO INICIAL.",1ª Turma Recursal,Maria Fernanda Scheidemantel Nogara Ferreira da Costa,Ibiporã,False,20230110
19,0019692-39.2021.8.16.0030,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63832bb29dae726918f4cb9044e8ef9a405bce1bf63ddea135fa909f8bf88bec55,20230110,"RECURSO INOMINADO. PRELIMINAR. INÉPCIA DA INICIAL NÃO VERIFICADA. ILEGITIMIDADE PASSIVA AFASTADA. MÉRITO. AÇÃO REVISIONAL DE BENEFÍCIO PREVIDENCIÁRIO. SERVIDORA PÚBLICA DO MUNICÍPIO DE FOZ DO IGUAÇU. SENTENÇA DE PARCIAL PROCEDÊNCIA. INCORPORAÇÃO DO ADICIONAL POR TEMPO DE SERVIÇO (DECÊNIO) NOS PROVENTOS DE APOSENTADORIA. ARTIGO 69, §1º, DA LEI COMPLEMENTAR MUNICIPAL Nº 17/1993. VANTAGEM PERMANENTE EM CARÁTER VITALÍCIO. INCIDÊNCIA DE CONTRIBUIÇÃO PREVIDENCIÁRIA SOBRE O REFERIDO ADICIONAL. CONTRIBUIÇÃO PREVIDENCIÁRIA INCIDENTE SOBRE O REFERIDO ADICIONAL. RESOLUÇÃO N.º 041/2020. DIFERENÇAS PECUNIÁRIAS DEVIDAS. Recurso parcialmente conhecido e na parte conhecida desprovido.",4ª Turma Recursal,Aldemar Sternadt,Foz do Iguaçu,False,20230110
20,0065211-93.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563b597ce36e6390d28afe8b279ff3d9d8fb0c8c3cf6544d248,20230110,"PODER JUDICIÁRIO
Estado do Paraná TRIBUNAL DE JUSTIÇA
HABEAS CORPUS Nº 0065211-93.2022.8.16.0000
Vara Criminal da Comarca de Guaíra (autos 0002131-91.2022.8.16.0086)
IMPETRANTES : Pedro Luiz Nunes, Alexandre Adolpho Lobo Samuel e Marcia
Inês Gottms Carneiro Lobo (Advogados)
PACIENTE : João Paulo Guilherme da Silva
IMPETRADO : Juízo de Direito da 3.ª Vara Criminal da Comarca de Maringá
RELATOR : Juiz OSVALDO CANELA JUNIOR
EMENTA",3ª Câmara Criminal,Osvaldo Canela Junior,Maringá,False,20230110
21,0011691-90.2018.8.16.0185,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563d988a07a084cc9565bce1bf63ddea135b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1ª CÂMARA CÍVEL",1ª Câmara Cível,Guilherme Luiz Gomes,Curitiba,False,20230110
22,0032936-96.2020.8.16.0021,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563606a686ca7adf720a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
8ª CÂMARA CÍVEL",8ª Câmara Cível,Alexandre Barbosa Fabiani,Cascavel,False,20230110
23,0031202-08.2022.8.16.00001,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925634b152438769937d1b0916c69d42af49cb0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
9ª CÂMARA CÍVEL",9ª Câmara Cível,Luis Sergio Swiech,Araucária,False,20230110
24,0000306-45.2023.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256378450d22b3f9d6a6b0916c69d42af49cb0c8c3cf6544d248,20230110,"PODER JUDICIÁRIO DO ESTADO DO PARANÁ
18ª CÂMARA CÍVEL - PROJUDI
RUA MAUÁ, 920 - ALTO DA GLORIA - Curitiba/PR - CEP: 80.030-901 - E-mail:
18CC@tjpr.jus.br
Autos nº. 0000306-45.2023.8.16.0000
Recurso: 0000306-45.2023.8.16.0000
Classe Processual: Agravo de Instrumento
Assunto Principal: Usucapião Especial (Constitucional)
Agravante(s): Izabete Fiori
Agravado(s): ANILDO GROSS",18ª Câmara Cível,Vitor Roberto Silva,Quedas do Iguaçu,False,20230110
25,0000349-79.2023.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925633921b152f4d9c54eec54ac705a3b031eb0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
4ª CÂMARA CRIMINAL",4ª Câmara Criminal,Rui Portugal Bacellar Filho,Guaraniaçu,False,20230110
26,0006197-58.2012.8.16.00242,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925635ddfd59b775dc517afe8b279ff3d9d8fb0c8c3cf6544d248,20230110,TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ 8ª CÂMARA CÍVEL Autos nº. 0006197-58.2012.8.16.0024/2 DECISÃO MONOCRÁTICA – EMBARGOS DE DECLARAÇÃO CÍVEL – OMISSÃO E CONTRADIÇÃO – INEXISTÊNCIA – PRETENSÃO DE REDISCUSSÃO DA MATÉRIA. EMBARGOS DE DECLARAÇÃO REJEITADOS.,8ª Câmara Cível,Gilberto Ferreira,Almirante Tamandaré,False,20230110
27,0000247-57.2023.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256359a0829cec29a4a1a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
1ª CÂMARA CRIMINAL",1ª Câmara Criminal,Miguel Kfouri Neto,Antonina,False,20230110
28,0078231-54.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256323bfb088f2c07961afe8b279ff3d9d8fb0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
11ª CÂMARA CÍVEL",11ª Câmara Cível,Rogério Etzel,Foz do Iguaçu,False,20230110
29,0005234-73.2014.8.16.01232,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925632cccce969e0f860bb0916c69d42af49cb0c8c3cf6544d248,20230110,"JULGAMENTO MONOCRÁTICO EMBARGOS DE DECLARAÇÃO CÍVEL. IMPROBIDADE ADMINISTRATIVA. DECLARAÇÃO DA PRESCRIÇÃO INTERCORRENTE DA PRETENSÃO SANCIONADORA, EM VIRTUDE DA EDIÇÃO DA LEI Nº 14.230/2021, QUE ALTEROU A LEI Nº 8.429/92. INTERPOSIÇÃO DE APELAÇÃO CÍVEL PELO MINISTÉRIO PÚBLICO. PRELIMINAR EM CONTRARRAZÕES. LACUNA CONFIGURADA. INTEMPESTIVIDADE IDENTIFICADA. RECURSO CONHECIDO E PROVIDO PARA SANAR A OMISSÃO E, COMO RESULTADO, NÃO CONHECER DO APELO.",5ª Câmara Cível,Luiz Mateus de Lima,Palmas,False,20230110
30,0002022-86.2020.8.16.0041,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd92563e618539f8f7cddcfc24ca277cc503138b0c8c3cf6544d248,20230110,"DECISÃO MONOCRÁTICA. APELAÇÃO CÍVEL. AÇÃO DECLARATÓRIA C/C INDENIZATÓRIA POR DANOS MORAIS E MATERIAIS E OBRIGAÇÃO DE FAZER. PARCIAL PROCEDÊNCIA. INCONFORMISMO DA CASA BANCÁRIA. ACORDO CELEBRADO ENTRE AS PARTES. HOMOLOGAÇÃO DA TRANSAÇÃO PARA JULGAR EXTINTO O FEITO ORIGINÁRIO COM RESOLUÇÃO DO MÉRITO, NOS TERMOS DO DISPOSTO NO ART. 487, INCISO III, ALÍNEA B, DO CÓDIGO DE PROCESSO CIVIL. ANÁLISE DO PRESENTE APELO PREJUDICADA. Apelação cível prejudicada.",16ª Câmara Cível,Paulo Cezar Bellio,Alto Paraná,False,20230110
31,0058240-92.2022.8.16.0000,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd9256369489dfd35c27455afe8b279ff3d9d8fb0c8c3cf6544d248,20230110,DECISÃO MONOCRÁTICA. AGRAVO DE INSTRUMENTO CÍVEL. EXECUÇÃO DE TÍTULO EXTRAJUDICIAL. DECISÃO QUE NÃO ACOLHEU TESE DE IMPENHORABILIDADE. BENEFÍCIO DA JUSTIÇA GRATUITA REQUERIDO EM RECURSO. INTIMAÇÃO PARA JUNTAR DOCUMENTOS COMPROBATÓRIOS NÃO CUMPRIDA. JUSTIÇA GRATUITA INDEFERIDA. REGULAR INTIMAÇÃO PARA RECOLHIMENTO DO PREPARO. INÉRCIA DA RECORRENTE. DESERÇÃO. RECURSO NÃO CONHECIDO.,13ª Câmara Cível,Victor Martim Batschke,Paranacity,False,20230110
32,0008968-94.2012.8.16.00281,(Decisão monocrática),https://portal.tjpr.jus.br/jurisprudencia/publico/visualizacao.do?tjpr.url.crypto=8a6c53f8698c7ff76db3047d195cb6a50e1bad728475d917206904084c03d1a7e341e6d089e3dce5f94a697fefb84d63d82ea4c16cd925633dee890642728410a30e793f58e62586b0c8c3cf6544d248,20230110,"TRIBUNAL DE JUSTIÇA DO ESTADO DO PARANÁ
17ª CÂMARA CÍVEL",17ª Câmara Cível,Fabio Andre Santos Muniz,Colombo,False,20230110
